"Algorithm","Hash","Path"
"SHA256","026820C8137F743F9050FD0F1671385B41B9160B6FE5894F33894E95BD7D1E79","C:\LAB3\Evidence\auth_events_before_rotation.txt"
"SHA256","7211E2F6C27F0C58969AFF657DF68DBC45A897E3920AB741C23E120201374B16","C:\LAB3\Evidence\autoruns_after.csv"
"SHA256","1B8ABE4DA869EA369C4AA59A1D324A01826714FD4B30F6EBAE03534AB1C45A06","C:\LAB3\Evidence\autoruns_before.csv"
"SHA256","7BDD8EFDD14400D96271EE1E1B4968787C026BA804AD29B2A63CD1E6DD8358E1","C:\LAB3\Evidence\autoruns_diff.txt"
"SHA256","7AB86E8EFD7B847E1AB5C666C2309EA89F4026CE86F5413476CBD49E648A775A","C:\LAB3\Evidence\baseline_defender.txt"
"SHA256","63422460F398A5848552423D9D47BE7DCFA852A2F1765D5FE2F5716726FB9A40","C:\LAB3\Evidence\baseline_firewall.txt"
"SHA256","6E425AA34BA13BF5A8E5B12D12EBDE5609F1A096EF8D8913D29B1A2EA5A89224","C:\LAB3\Evidence\baseline_network.txt"
"SHA256","F47141B7C0C2D271F73E899C78CBB24EEA28C6A4907D2DD278C89D2F06E47F67","C:\LAB3\Evidence\baseline_os.txt"
"SHA256","49F2ABAEBB92DDBADB07718D66CD328B90EA534F491105902623C4A65AADEC9C","C:\LAB3\Evidence\baseline_processes.txt"
"SHA256","24E5D8450835390AF3D1D2515D13F7773CFCA6469FD627145D6BD6AD12CE84AC","C:\LAB3\Evidence\ddos_sources.txt"
"SHA256","995029F18F6F34A6DDA5818AB8F082002241EE14599CC669100B530E93E53A85","C:\LAB3\Evidence\defender_eicar.txt"
"SHA256","71FA6688BA661D5337E52D6140F77EBC1BB2FDB47D0DC3E3315B57394E313885","C:\LAB3\Evidence\local_load_test.txt"
"SHA256","E7FD8D985E5F9B042B92A2DA6E06077815242EE5293D38BD074AD5476AB0D24E","C:\LAB3\Evidence\mail_sender_counts.txt"
"SHA256","2AB9646BC50CE4D3326BA3B3A2F28583D23FA2E3E7B26A54081E06D8A3A5AD96","C:\LAB3\Evidence\mail_volume.txt"
"SHA256","912AE95AFB7AE290B498A4F647B2546D6A818E609D60F2BB3C6629BE7B46F857","C:\LAB3\Evidence\start_time.txt"
"SHA256","577CDC5E9598D408BDE0C5EE0CFBFA5A158BA733FFD8816BB95F20B8383E5E67","C:\LAB3\Evidence\sysmon_persistence.txt"
"SHA256","5C17AEB440FDEECE0CDABEDEABFB5A377AF113E5D0B92095BC5680461ABB0EF0","C:\LAB3\Evidence\task_ran.txt"
